,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
96,20152301020,5,THEFT                         ,Theft,18-Aug-15,10003 MANCHACA RD                                                                                   ,N,31-Aug-15,F,78748,17.48,3089429,10034890,30.1713079,-97.8231381
97,20152280376,4,AUTO THEFT                    ,Auto Theft,16-Aug-15,10003 PARKFIELD DR                                                                                  ,N,16-Aug-15,E,78758,18.22,3126536,10109585,30.374059,-97.70121118
98,201528114,4,BURGLARY OF VEHICLE           ,Theft,28-Jan-15,10003 QUAIL VALLEY BLVD                                                                             ,,,E,78758,18.21,3123749,10110509,30.3767335,-97.7099294
99,20152741791,4,BURGLARY OF RESIDENCE         ,Burglary,1-Oct-15,10003 RUTLAND VILLAGE EAST                                                                          ,N,15-Oct-15,E,78758,18.21,3123774,10110949,30.3779265,-97.70980431
100,20155054019,4,THEFT                         ,Theft,11-Dec-15,10003 RUTLAND VILLAGE EAST                                                                          ,,,E,78758,18.21,3123774,10110949,30.3779265,-97.70980431
101,20155010611,5,THEFT                         ,Theft,13-Mar-15,10005 ALY MAY DR                                                                                    ,N,18-Mar-15,F,78748,24.21,3091387,10034562,30.16997169,-97.81815608
102,2015511050,4,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,20-Feb-15,10005 BROWNIE DR                                                                                    ,C,6-Apr-15,E,78753,18.23,3131570,10106487,30.3651745,-97.68544957
103,20152920233,4,BURGLARY OF RESIDENCE         ,Burglary,19-Oct-15,10005 QUAIL VALLEY BLVD                                                                             ,N,21-Oct-15,E,78758,18.21,3123800,10110552,30.376819,-97.70977434
104,20158004450,6,THEFT                         ,Theft,11-Dec-15,10006 BRIGHTLING LN                                                                                 ,N,17-Dec-15,A,78750,17.14,3090947,10128444,30.4281115,-97.81270615
105,20155002109,4,THEFT                         ,Theft,16-Jan-15,10006 BROWNIE DR                                                                                    ,N,19-Jan-15,E,78753,18.23,3131413,10106679,30.365684,-97.68594585
106,20152140958,4,AUTO THEFT                    ,Auto Theft,2-Aug-15,10007 BROWNIE DR                                                                                    ,N,15-Sep-15,E,78753,18.23,3131605,10106553,30.3650515,-97.68512265
107,20155004039,4,BURGLARY OF VEHICLE           ,Theft,29-Jan-15,10007 DERRINGER TRL                                                                                 ,N,3-Feb-15,E,78753,18.23,3130839,10107149,30.3670485,-97.68777295
108,20158003983,4,THEFT                         ,Theft,6-Nov-15,10009 N LAMAR BLVD                                                                                  ,N,24-Dec-15,E,78753,18.23,3129341,10108079,30.2746922,-97.7524305
109,20152171197,4,BURGLARY OF VEHICLE           ,Theft,5-Aug-15,10009 PARKFIELD DR                                                                                  ,N,10-Aug-15,E,78758,18.22,3126646,10109800,30.3746,-97.70079991
110,20155052767,4,BURGLARY OF VEHICLE           ,Theft,3-Dec-15,10009 WOODGLEN DR                                                                                   ,N,3-Dec-15,E,78753,18.33,3134699,10105094,37.67651561,-77.43139169
